id,name,lat,lon
267,0_Cards,,
266,0_Soliton_net,,
342,1_002,,
345,1_Water1,,
153,"Антонича, 6 Близенько 2.00 грн",49.78597,24.06862
240,"Багряного, 39 Близенько 2.00 грн",49.82918,23.97755
164,"Бандери, 69 Близенько 2.00 грн",49.83474,24.00736
222,"Бельведерська, 61 Близенько 1.20 грн",23.67889,65.57788
297,"Біберовича, 11 Близенько 1.50 грн",,
272,"Білогірська, 3 Близенько 1.50 грн",49.53648,25.59378
190,"Братів Міхновських,  23  Близенько 2.00 грн",49.83979,24.0035
236,"Брюховицька, 143 Близенько 2.00 грн",49.87363,23.95129
156,"Брюховичі Івасюка, 1 Близенько 2.00 грн",49.90172,23.93997
243,"Брюховичі Львівська, 92 Близенько 2.00 грн",49.91317,23.96544
344,"Брюховичі, Весняна, 1а 1.50 грн",49.89709,23.95578
179,"В.Великого, 1 Близенько 2.00 грн",49.80767,24.0181
18,"В.Великого, 103  Близенько 1.50 грн",49.81073,23.99386
116,"В.Великого, 35а Близенько 2.00 грн",49.80943,24.00647
221,"В.Великого, 75  Близенько 1.50 грн",49.81937,23.98765
259,"Васильківського,9  Сім23 1.50 грн",,
254,"Вашингтона, 4в Близенько 2.00 грн",49.81515,24.06423
327,"Веливока, 9 Близенько 2.00 грн",49.85619,24.06217
339,"Вербицького, 16  Близенько 1.50 грн",,
107,"Ветеранів, 5 ОСББ  1.50 грн",49.85775,24.01767
202,"Виговського, 5 Сімі 2.00 грн",49.82917,23.96839
52,"Виговського, 5б Близенько 1.50 грн",49.82934,23.97017
205,"Винники, Винна гора, 10б  Близенько 2.00 грн",49.82237,24.14006
126,"Винники, Сахарова, 10 Близенько 2.00 грн",49.82089,24.14642
251,"Винники, Франка, 53 Близенько 1.50 грн",49.80984,24.13884
249,"Віденська,9 Рукавичка 1.50 грн",,
215,"Вовчинецька ,194  Близенько 1.50 грн",23.67889,65.57788
154,"Гайдамацька, 9а Близенько 2.00 грн",49.85242,24.02791
216,"Галицька, 145а Близенько  2.00 грн",23.67889,65.57788
290,"Галицька, 87 Близенько 1.20 грн",,
340,"Гашека, 17 Близенько 1.50 грн",49.79726,24.02054
325,"Ген Тарнавського, 7б Близенько 2.00 грн",49.56646,25.63268
178,"Генерала Тарнавського, 104б Близенько 2.00 грн",49.82687,24.04194
220,"Героїв Миколаєва ,129а Близенько 1.50 грн",23.67889,65.57788
275,"Героїв УПА,73в ОСББ  1.50 грн",,
305,"Гориня, 39 Близенько 1.50 грн",,
212,"Городоцька, 213 Близенько 1.50 грн",49.8328,23.98171
269,"Городоцька, 226а Близенько 2.00 грн",49.82795,23.94952
268,"Городоцька, 45 Близенько 2.00 грн",49.84269,24.01941
51,"Грінченка, 6 Близенько 1.50 грн",49.87224,24.05258
195,"Грушевського, 7/9 Близенько 2.00 грн",49.83461,24.03223
114,"Демнянська, 26 Близенько 1.50 грн",49.81377,23.98191
241,"Дзиндри, 1а  Близенько 2.00 грн",49.82607,24.02681
226,"Дністерська, 1  Близенько 1.50 грн",49.81772,24.05842
300,"Дністровська, 32 Близенько 1.50 грн",,
55,"Довбуша, 1  Товари з Італії 2.00 грн",49.84658,24.0416
320,"Довженка, 12 Близенько 1.50 грн",49.53992,25.62433
201,"Довженка, 33 Близенько 1.20 грн",23.67889,65.57788
87,"Довженка, 5  Близенько 1.50 грн",49.79941,24.05435
310,"Довженка, 63 Близенько 1.00 грн",,
118,"Драгана, 4б  Близенько 2.00 грн",49.78503,24.05675
194,"Дудаєва,7 Чарка до свята 1.50 грн",23.67889,65.57788
108,"Дунайська, 7 Близенько 1.50 грн",49.81641,24.0508
334,"Європейська, 3 Близенько 1.00 грн",,
234,"Залізнична, 21 Близенько 1.50 грн",49.84774,23.99609
180,"Замарстинівська, 170б  Близенько 2.00 грн",49.86796,24.02429
258,"Замарстинівська, 170н Близенько 2.00 грн",49.86911,24.02634
225,"Замарстинівська, 55г Близенько 2.00 грн",49.85558,24.02813
273,"Заміська, 16 Близенько 1.50 грн",49.56043,25.61755
172,"Зарицьких, 5  Близенько 2.00 грн",49.82902,24.03065
326,"Зелена, 17 Сімі 2.00 грн",49.83382,24.03768
165,"Зелена, 204  Близенько 2.00 грн",49.81169,24.06011
280,"Зелена, 44  Близенько 2.00 грн",49.83137,24.04239
57,"Зимна Вода, Тичини, 9  Близенько 1.50 грн",49.82455,23.90394
209,"Золота, 25  Близенько 1.50 грн",49.84943,24.00629
253,"Золота,30 Рукавичка 1.50 грн",,
338,"Івасюка, 62 Близенько  1.00 грн",,
282,"Йосифа Сліпого, 22 Близенько 2.00 грн",49.82996,24.04005
277,"Кавалерідзе,23  Сім23 1.50 грн",,
248,"Калуське шосе, 3  Близенько  2.00 грн",,
242,"Караджича, 29б  Рукавичка 2.00 грн",49.82667,23.97187
175,"Кн.Ольги, 100к  Близенько 2.00 грн",49.81773,24.003
224,"Кн.Ольги, 98л  Фрешка 2.00 грн",49.81829,24.00194
239,"Князя Романа, 9  Близенько 2.00 грн",49.83663,24.03428
311,"Коломийська,7 Близенько 1.20 грн",,
293,"Коновальця, 50 Близенько 2 грн",,
301,"Коперніка, 56 Свій Маркет 2.00 грн",,
230,"Котика, 9 Близенько 2.00 грн",49.83567,24.06019
197,"Кропивницького, 7/9  Близенько 2.00 грн",49.83624,24.00415
336,"Кубійовича, 31 Близенько 2.0",49.82605,24.03815
184,"Кульпарківська, 135  Близенько 2.00 грн",49.80706,23.98321
213,"Кульпарківська, 145 Близенько 1.50 грн",49.80368,23.98159
306,"Кульпарківська, 172  Близенько 2,00 грн",,
109,"Кульпарківська, 230  Близенько 2.00 грн",49.80404,23.97945
294,"Кульпарківська, 59  Близенько 2.00 грн",,
187,"Кульпарківська, 93 Близенько 2.00 грн",0,0
58,"Куровця,36 Рукавичка 1.50 грн",23.67889,65.57788
335,"Лазаренка, 1 Близенько 1.50 грн",,
292,"Лапаївка, Геофізиків, 17  Близенько 2.00 грн",,
85,"Левицького, 106  Penkermarket 2.00 грн",49.83102,24.04668
54,"Левицького, 43а  Кишенька 2.00 грн",49.83384,24.04138
304,"Ленкавського, 34 Близенько 1.00 грн",,
289,"Лепкого, 7 Близенько 1.50 грн",49.56003,25.63448
233,"Липинського, 29  Близенько 2.00 грн",49.86439,24.03532
232,"Липова алея, 1  Близенько 1.50 грн",49.82039,24.05526
235,"Лисеницька,  9 Близенько  2.00 грн",49.81676,24.08191
231,"Лисиничі, Шухевича, 5 Близенько 2.00 грн",49.84391,24.10125
186,"Личаківська, 163  Близенько 2.00 грн",49.8372,24.06186
193,"Личаківська, 4/6  Близенько 2.00 грн",49.83968,24.03805
157,"Личаківська, 70а  Близенько 2.00 грн",49.83945,24.0507
286,"Личаківська, 86  Близенько 2.00 грн",49.83814,24.05587
105,"Лінкольна,53 Чарка  до свята 1.50 грн",49.86715,24.04249
337,"Любінська, 4 Близенько 1.50 грн",49.83357,23.99044
223,"Мазепи ,177 Близенько 1.20 грн",23.67889,65.57788
328,"Мазепи, 26 Близенько 2.00 грн",49.87176,24.04182
198,"Малоголосківська, 16  Близенько 2.00 грн",49.86613,24.0057
287,"Марка Вовчка,  24  Чарка  2.00 грн",49.84084,24.0066
203,"Медової печери,  65  Близенько 1.50 грн",49.82341,24.08463
60,"Мечнікова, 16е  Близенько  2.00 грн",49.83257,24.04776
188,"Миколайчука, 4а  Близенько 2.00 грн",49.87379,24.04272
271,"Миру, 4в Близенько 1.50 грн",49.54636,25.57442
120,"Мікльоша, 17  Близенько  1.50  грн",49.78447,24.01884
199,"Мундяк Марії,  8  Близенько 2.00 грн",49.84852,23.96808
61,"Наливайка,  20  Близенько  2.00 грн",49.8433,24.02353
229,"Наукова,  59  Близенько  1.50 грн",49.8049,23.98403
343,"Наукова, 10а Близенько 0.50 грн",49.80652,24.0042
245,"Наукова, 96  Близенько 1.50 грн",49.80532,23.98878
237,"Незалежності, 99 Близенько 1.50 грн",23.67889,65.57788
250,"Незалежності,148а Близенько 1.50 грн",,
196,"Ніжинська, 16  Близенько  2.00 грн",49.84035,24.05407
298,"Освицька, 1 Близенько 1.00 грн",,
59,"Очеретяна, 10  Близенько 1.50 грн",49.87716,24.04331
227,"Пасічна, 171  Близенько 1.50 грн",49.80437,24.07247
281,"Пасічна, 84а  Близенько 2.00 грн",49.8233,24.07477
119,"Пекарська, 14  Близенько  2.00 грн",49.83785,24.0371
191,"Петлюри, 1 Близенько 2.00 грн",48.90368,24.69805
208,"Петлюри, 2а  Кафе 2.00 грн",49.82177,23.97933
238,"Під Голоском,  24б   Близенько 1.50 грн",49.87132,24.0079
283,"Під Дубом,17  2.00 грн",,
182,"Повітряна, 78  Близенько 2.00 грн",49.86476,24.02896
86,"просп. Свободи, 1/3 Близенько  2.00 грн",49.83931,24.02817
218,"просп.В.Чорновола,  7а  Близенько  2.00 грн",49.84543,24.02494
113,"просп.В.Чорновола, 101  Близенько 2.00 грн",49.86584,24.01528
264,"просп.В.Чорновола, 55  Близенько 2.00 грн",49.85499,24.01993
192,"просп.В.Чорновола, 67ж  Близенько 1.50 грн",49.85882,24.01871
124,"просп.В.Чорновола, 69  Близенько 2.00 грн",49.86066,24.01892
285,"Протасевича,6 Близенько  2.00 грн",49.54424,25.63346
314,"Пулюя, 29  Близенько 2.00 грн",,
279,"Пулюя, 40  Близенько 1.50 грн",49.80106,23.98823
53,"Родини Крушельницьких, 1а  Близенько 2.00 грн",49.82829,24.04794
204,"Роксоляни, 57  Близенько 2.00 грн",49.84843,23.96132
276,"Рудненська,  8ж  Близенько 2.00 грн",49.83577,23.97265
296,"Садівнича, 27 Близенько 2.00 грн",,
121,"Сахарова, 60 Близенько 2.00 грн",49.82455,24.01127
12,"Січових Стрільців, 13 Близенько 2.00 грн",49.84013,24.02418
257,"Січових Стрільців, 7 Близенько 1.20 грн",,
183,"Скорини, 44 Близенько 1.50 грн",49.79793,24.02601
228,"Сокільники, Весняна, 18 Близенько 1.50 грн",49.82293,23.97909
302,"Сокільники, Г.Сковороди, 56  Близенько 1.50 грн",,
217,"Сокільники, Героїв Майдану, 17в Близенько 2.00 грн",49.79074,24.01016
341,"Сокільники, Збройних сил України, 2 1.50 грн",49.77131,23.96467
316,"Стрийська, 108  ЖК Національний 1.50 грн",49.8105,24.01775
265,"Стрийська, 115 Близенько 1.50 грн",49.78591,24.02347
244,"Стрийська, 45в Близенько 1.50 грн",49.80239,24.01977
127,"Стрийська, 51 Близенько 2.00 грн",49.80046,24.01869
50,"Стрийська, 61  Близенько 1.50 грн",49.79486,24.01764
323,"Суботівська, 10а Близенько 1.50 грн",49.84711,23.96663
214,"Суботівська, 7 Близенько 1.50 грн",49.84506,23.96604
56,"Тернопільська, 21 Близенько 1.50 грн",49.81201,24.03616
174,"Тернопільська, 8 Близенько 2.00 грн",49.81681,24.04333
122,"Тичини, 14 Близенько 2.00 грн",49.86869,24.03428
319,"Тракт Глинянський, 163 Сімі 1.50 грн",49.8422,24.10136
284,"Тролейбусна, 4а  Близенько 2.00 грн",,
200,"Трускавецька, 129 Близенько 2.00 грн",49.79803,23.98831
155,"Угорська, 12 Близенько 1.50 грн",49.812,24.04041
206,"Угорська, 14б Близенько 2.00 грн",49.80975,24.04275
321,"Федьковича, 24 Близенько 1.50 грн",49.83504,24.00222
176,"Федьковича, 38  Близенько 2.00 грн",49.8335,23.99945
112,"Франка, 69  Близенько 2.00 грн",49.83042,24.03235
246,"Хмельницького, 257 Близенько 2.00 грн",49.86965,24.05617
185,"Хмельницького, 76 Близенько 2.00 грн",49.85304,24.03624
256,"Художня, 4  Близенько 2.00 грн",49.83108,24.00039
317,"Цегельского, 10  Близенько 2.00 грн",49.8218,24.00033
278,"Чупринки, 84  Близенько  2.00 грн",49.82865,24.00552
104,"Шевченка, 111 Близенько 1.50 грн",49.85068,23.99142
247,"Шевченка, 31б  Близенько 2.00 грн",49.84448,24.00598
189,"Шевченка, 45  Близенько 1.50 грн",49.84675,24.00401
177,"Шевченка, 80 Близенько  1.50 грн",49.84694,24.00436
210,"Широка, 96а  Близенько 1.50 грн",49.84452,23.95988
322,"Шолом-Алейхема, 20 Сімі 2.00 грн",49.84506,24.02028
123,"Щурата, 9  Близенько 1.50 грн",49.88085,24.03728
260,"Юнаківа,9б  Сім23 1.50 грн",,
211,"Яворницького, 8  Близенько 2.00 грн",49.82534,23.97623
